Symbol,RMSE,MAE,MAPE,Accuracy (%),R2,Precision,Recall,F1_Score
TMPV,17.6343,9.5032,1.5902,98.4098,0.994,0.4559,0.9602,0.6182
TCS,47.1907,32.4841,1.0297,98.9703,0.9937,0.0,0.0,0.0
ITC,4.4523,3.0734,0.8184,99.1816,0.9923,0.6,0.0391,0.0735
EICHERMOT,101.6614,70.3026,1.1654,98.8346,0.9912,0.5714,0.0161,0.0314
HINDALCO,14.378,10.3798,1.3492,98.6508,0.9907,0.5504,0.9296,0.6915
SHRIRAMFIN,17.2348,12.1314,1.662,98.338,0.9898,0.509,0.7857,0.6178
SBIN,12.7136,8.7629,1.0076,98.9924,0.9897,0.5126,0.9684,0.6703
INDUSINDBK,22.3796,13.2825,1.4713,98.5287,0.9885,0.4898,0.9918,0.6558
MARUTI,188.8798,135.2834,1.0233,98.9767,0.9878,0.6471,0.0451,0.0843
HEROMOTOCO,78.4929,59.2656,1.2414,98.7586,0.9876,0.5461,0.6426,0.5904
SBILIFE,23.3457,17.1383,0.9863,99.0137,0.9865,0.4845,0.2217,0.3042
TATASTEEL,2.8438,2.0466,1.2722,98.7278,0.9864,0.5331,0.6414,0.5823
INFY,25.663,18.4288,1.2383,98.7617,0.9863,0.4586,0.5041,0.4803
ASIANPAINT,35.7489,25.7072,1.0216,98.9784,0.9852,1.0,0.0206,0.0403
BHARTIARTL,23.2492,17.2364,0.9638,99.0362,0.9846,0.513,0.8611,0.643
BAJFINANCE,15.1184,10.9335,1.2685,98.7315,0.9843,0.0,0.0,0.0
HDFCBANK,10.4175,7.7411,0.9043,99.0957,0.9826,0.5143,0.0753,0.1314
JSWSTEEL,16.4069,11.9738,1.1346,98.8654,0.9814,0.5192,0.6378,0.5724
HDFCLIFE,9.8278,7.6279,1.119,98.881,0.9804,0.4554,1.0,0.6258
LTM,100.6076,72.4442,1.4308,98.5692,0.9803,0.5011,0.9146,0.6475
HCLTECH,25.0713,17.1767,1.1522,98.8478,0.9803,0.4635,0.5336,0.4961
TITAN,54.5999,38.4763,1.0452,98.9548,0.9803,0.5105,0.6883,0.5862
ADANIPORTS,26.2286,19.1449,1.3974,98.6026,0.9793,0.4699,0.9536,0.6295
WIPRO,4.2772,3.0455,1.261,98.739,0.9779,0.4857,0.0708,0.1236
NESTLEIND,15.1073,10.9683,0.9019,99.0981,0.9777,0.4906,0.6367,0.5542
COALINDIA,6.1831,4.4508,1.1012,98.8988,0.9772,0.5101,1.0,0.6756
BAJAJ-AUTO,151.642,105.8179,1.1703,98.8297,0.9752,0.512,0.9249,0.6592
BPCL,5.5735,4.1427,1.3725,98.6275,0.9746,0.4783,0.9788,0.6426
BRITANNIA,71.2376,52.1747,0.9447,99.0553,0.9744,0.5283,1.0,0.6914
NTPC,4.9786,3.7878,1.0757,98.9243,0.9733,0.4706,0.2667,0.3404
HINDUNILVR,29.7503,21.8678,0.9267,99.0733,0.9725,0.4787,0.9615,0.6392
AXISBANK,17.4161,12.3129,1.0319,98.9681,0.9711,0.5266,0.4125,0.4626
APOLLOHOSP,93.0487,66.6239,0.926,99.074,0.971,0.5,0.7355,0.5953
M&M,54.9985,42.3928,1.3882,98.6118,0.9698,0.5197,0.5777,0.5472
DIVISLAB,95.3067,68.5162,1.1395,98.8605,0.9693,0.4608,0.3984,0.4274
BAJAJFINSV,28.8329,21.5165,1.1564,98.8436,0.9678,0.5714,0.0327,0.0618
ONGC,4.348,3.1116,1.2428,98.7572,0.9678,0.4659,0.8577,0.6038
RELIANCE,17.8948,13.3063,0.9741,99.0259,0.9676,0.4928,0.9876,0.6575
ADANIENT,62.2551,41.9635,1.718,98.282,0.9655,0.4619,0.8658,0.6024
KOTAKBANK,5.5064,3.9313,0.9984,99.0016,0.9653,0.4813,0.9667,0.6427
TATACONSUM,15.9316,11.6284,1.0718,98.9282,0.9651,0.6,0.1736,0.2692
ICICIBANK,15.3081,11.3317,0.8598,99.1402,0.9651,0.509,0.6898,0.5858
LT,56.7748,39.3751,1.0852,98.9148,0.9589,0.4573,0.3824,0.4165
POWERGRID,4.1778,3.0856,1.0621,98.9379,0.9577,0.4774,0.5685,0.5189
GRASIM,38.1726,28.0103,1.0385,98.9615,0.9542,0.4561,0.5394,0.4943
CIPLA,20.368,14.2689,0.983,99.017,0.9526,0.5073,0.976,0.6676
TECHM,25.2575,19.0788,1.298,98.702,0.9394,0.4895,0.9588,0.6481
SUNPHARMA,21.533,15.6806,0.9135,99.0865,0.9337,0.5294,0.9962,0.6914
DRREDDY,17.2262,12.6092,0.9995,99.0005,0.9297,0.4826,0.3347,0.3952
ULTRACEMCO,164.1219,121.7957,1.055,98.945,0.924,0.4872,0.9385,0.6415
TMCV,9.722,6.7506,1.6911,98.3089,0.8605,0.45,0.6429,0.5294
